hand_index,handedness,lm_index,x,y,z
0,Right,0,0.254116,0.444334,-0.000000
0,Right,1,0.291892,0.420837,-0.023501
0,Right,2,0.326085,0.333668,-0.027836
0,Right,3,0.332801,0.243159,-0.028481
0,Right,4,0.326001,0.183821,-0.023094
0,Right,5,0.303737,0.264556,-0.006495
0,Right,6,0.296301,0.210547,-0.029062
0,Right,7,0.292987,0.281688,-0.037599
0,Right,8,0.295853,0.315584,-0.038254
0,Right,9,0.273310,0.269258,-0.000301
0,Right,10,0.266345,0.220680,-0.021376
0,Right,11,0.269760,0.306395,-0.020433
0,Right,12,0.274692,0.322266,-0.013135
0,Right,13,0.247024,0.279440,0.000658
0,Right,14,0.239082,0.237440,-0.022366
0,Right,15,0.245547,0.316370,-0.009579
0,Right,16,0.252278,0.332270,0.006064
0,Right,17,0.220310,0.290110,-0.000382
0,Right,18,0.213908,0.262890,-0.012035
0,Right,19,0.220261,0.316210,-0.001424
0,Right,20,0.225550,0.329486,0.010998
